,id,pleiades,issued_by,mint_location,source,group,series,sub_series,metal,denomination,date_range,range_min,range_max,study_numbers,obv_die_numbers,number_of_obverse_dies,_649_625,_624_600,_599_575,_574_550,_549_525,_524_500,_499_475,_474_450,_449_425,_424_400,_399_375,_374_350,_349_325,_324_300,_299_275,_274_250,_249_225,_224_200,_199_175,_174_150,_149_125,_124_100,_99_75,_74_50,_49_25,_24_1,lat,long
27,28.0,462503,syracuse,syracuse,boehringer 1978,4.00,13.00,,silver,pentonkion,474-450,-474.0,-450.0,431-433,229-231,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
28,29.0,462503,syracuse,syracuse,boehringer 1978,4.00,13.00,,silver,tetradrachm,474-450,-474.0,-450.0,434-448,232-236,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
29,30.0,462503,syracuse,syracuse,boehringer 1978,4.00,13.00,,silver,litron,474-450,-474.0,-450.0,449-467,237-251,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
30,31.0,462503,syracuse,syracuse,boehringer 1978,4.00,14.00,,silver,tetradrachm,474-450,-474.0,-450.0,468-496,252-261,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
31,32.0,462503,syracuse,syracuse,boehringer 1978,4.00,14.00,,silver,didrachm,474-450,-474.0,-450.0,497.00,262.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
32,33.0,462503,syracuse,syracuse,boehringer 1978,4.00,14.00,,silver,tetradrachm,474-450,-474.0,-450.0,498-499,263.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
33,34.0,462503,syracuse,syracuse,boehringer 1978,4.00,15.00,,silver,tetradrachm,474-450,-474.0,-450.0,500-547,264-276,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
34,35.0,462503,syracuse,syracuse,boehringer 1978,4.00,15.00,,silver,didrachm,474-450,-474.0,-450.0,548.00,277.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
35,36.0,462503,syracuse,syracuse,boehringer 1978,4.00,15.00,,silver,litron,474-450,-474.0,-450.0,549-551,278-280,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
36,37.0,462503,syracuse,syracuse,boehringer 1978,4.00,15.00,,silver,hemilitron,474-450,-474.0,-450.0,552-553,281.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
37,38.0,462503,syracuse,syracuse,boehringer 1978,4.00,16.00,,silver,tetradrachm,474-450,-474.0,-450.0,554-584,282-289,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
